20200417_051343|Test accuracy: 0.7570332480818415
20200417_071239|Test accuracy: 0.7714285714285715
20200417_084656|Test accuracy: 0.6333333333333333
20200417_092650|Test accuracy: 0.85
20200417_100742|Test accuracy: 0.75
20200417_101129|Test accuracy: 0.7333333333333333
20200417_114301|Test accuracy: 0.9822222222222222
20200417_131302|Test accuracy: 0.6317708333333333
20200417_155658|Test accuracy: 0.6681159420289855
20200417_171337|Test accuracy: 1.0
20200417_192029|Test accuracy: 0.708
20200417_205456|Test accuracy: 0.5974358974358974
20200417_231116|Test accuracy: 0.5948717948717949
20200418_001820|Test accuracy: 0.6435897435897436
20200418_004625|Test accuracy: 0.9705882352941176
20200418_031612|Test accuracy: 0.7644927536231884
20200418_042441|Test accuracy: 0.7553956834532374
20200418_055255|Test accuracy: 0.6762589928057554
20200418_063015|Test accuracy: 0.7482014388489209
20200418_065746|Test accuracy: 0.87
20200418_095407|Test accuracy: 0.9364444444444444
20200418_105052|Test accuracy: 0.924506387921022
20200419_122343|Test accuracy: 0.6951108805602386
20200419_164601|Test accuracy: 0.7869822485207101
20200419_174635|Test accuracy: 0.6704545454545454
20200419_190829|Test accuracy: 0.78
20200419_232412|Test accuracy: 0.7318681318681318
20200420_002013|Test accuracy: 0.8114285714285714
20200421_013519|Test accuracy: 0.884090909090909
20200422_024812|Test accuracy: 0.7407407407407407
20200422_025351|Test accuracy: 0.9666666666666667
20200422_032803|Test accuracy: 0.7428571428571429
20200422_065751|Test accuracy: 0.9216216216216216
20200422_072911|Test accuracy: 0.45454545454545453
20200422_073917|Test accuracy: 0.59375
20200422_080656|Test accuracy: 0.39090909090909093
20200422_094606|Test accuracy: 0.5409090909090909
20200422_094725|Test accuracy: 0.9076773566569485
20200422_111420|Test accuracy: 0.7786666666666666
20200422_111939|Test accuracy: 0.8032786885245902
20200422_112118|Test accuracy: 0.726027397260274
20200422_112559|Test accuracy: 0.9181236673773987
20200422_113254|Test accuracy: 0.8666666666666667
20200422_123029|Test accuracy: 0.743421052631579
20200422_162453|Test accuracy: 0.7800687285223368
20200422_172917|Test accuracy: 0.6298701298701299
20200422_190817|Test accuracy: 0.5844155844155844
20200422_194221|Test accuracy: 0.7699680511182109
20200423_120637|Test accuracy: 0.910941475826972
20200423_192155|Test accuracy: 0.9114503816793893
20200423_210802|Test accuracy: 0.8333333333333334
20200423_220538|Test accuracy: 0.6735537190082644
20200424_035135|Test accuracy: 0.7750582750582751
20200424_042717|Test accuracy: 0.205168776371308
20200424_045920|Test accuracy: 0.9904761904761905
