20200405_165001|Test accuracy: 0.8487972508591065
20200405_175600|Test accuracy: 0.8536585365853658
20200405_194707|Test accuracy: 0.7951219512195122
20200405_212756|Test accuracy: 0.5733333333333334
20200406_011540|Test accuracy: 0.4693333333333333
20200406_015158|Test accuracy: 0.6
20200406_040327|Test accuracy: 0.7633333333333333
20200406_065604|Test accuracy: 0.6666666666666666
20200406_072141|Test accuracy: 0.9384359400998337
20200406_075725|Test accuracy: 0.8919202518363064
20200406_122320|Test accuracy: 0.9678241864983002
20200406_144619|Test accuracy: 0.9702702702702702
20200406_174230|Test accuracy: 0.8896
20200406_184139|Test accuracy: 0.9216080402010051
20200406_191226|Test accuracy: 0.9966666666666667
20200406_221434|Test accuracy: 0.8201754385964912
20200407_002918|Test accuracy: 0.7615384615384615
20200407_004930|Test accuracy: 1.0
20200407_012439|Test accuracy: 0.9947322212467077
20200407_045106|Test accuracy: 0.99925
20200407_092618|Test accuracy: 0.7727526521496371
20200407_164653|Test accuracy: 0.6887213847012842
20200407_194052|Test accuracy: 0.7091010608598548
20200408_012722|Test accuracy: 0.870463428252373
20200408_081456|Test accuracy: 0.9965931213497728
20200408_081835|Test accuracy: 0.7222222222222222
20200408_102827|Test accuracy: 0.6018808777429467
20200408_110525|Test accuracy: 0.5974025974025974
20200408_124447|Test accuracy: 0.6753246753246753
20200408_141900|Test accuracy: 0.7813333333333333
20200408_150122|Test accuracy: 0.77
20200408_163048|Test accuracy: 0.96
20200408_163613|Test accuracy: 0.9212827988338192
20200408_231905|Test accuracy: 0.7233333333333334
20200409_015003|Test accuracy: 0.4889502762430939
20200409_024136|Test accuracy: 0.34806629834254144
20200409_072816|Test accuracy: 0.568
20200409_075248|Test accuracy: 0.9989473684210526
20200409_091046|Test accuracy: 0.9428070175438596
20200409_094256|Test accuracy: 0.8763440860215054
20200409_112206|Test accuracy: 1.0
20200409_120245|Test accuracy: 0.9968354430379747
20200409_123229|Test accuracy: 1.0
20200409_150017|Test accuracy: 0.8823529411764706
20200409_150329|Test accuracy: 1.0
20200409_153239|Test accuracy: 1.0
20200409_171443|Test accuracy: 0.9076288659793814
20200409_175703|Test accuracy: 0.8371134020618557
20200410_092005|Test accuracy: 0.3701923076923077
20200411_042457|Test accuracy: 0.6538461538461539
20200412_000154|Test accuracy: 0.5721153846153846
20200412_013329|Test accuracy: 0.9055555555555556
20200412_020449|Test accuracy: 0.56
20200412_024643|Test accuracy: 0.8483333333333334
20200412_043530|Test accuracy: 0.5733333333333334
20200412_072711|Test accuracy: 0.6955555555555556
20200412_073035|Test accuracy: 0.9266666666666666
20200412_092057|Test accuracy: 0.9861111111111112
